"","employees","salaries_2017","salary_adjustments","salaries_2018","got_raise"
"1","Employee 1",44672.6973494515,-2439.48549730703,42233.2118521444,FALSE
"2","Employee 2",44416.2926776335,-590.586202451959,43825.7064751815,FALSE
"3","Employee 3",49156.6163650714,-2612.77909972705,46543.8372653443,FALSE
"4","Employee 4",49031.9424076006,-1225.77955829911,47806.1628493015,FALSE
"5","Employee 5",40708.0484670587,4800.39913556539,45508.4476026241,TRUE
"6","Employee 6",42869.2637081258,6800.47974106856,49669.7434491944,TRUE
"7","Employee 7",46957.6838682406,-2776.77243226208,44180.9114359785,FALSE
"8","Employee 8",49369.1931827925,-415.027478011325,48954.1657047812,FALSE
"9","Employee 9",46474.4270849042,1707.8107863199,48182.2378712241,TRUE
"10","Employee 10",42740.7486387528,732.607606332749,43473.3562450856,TRUE
"11","Employee 11",48080.9687077999,50.2672325819731,48131.2359403819,TRUE
"12","Employee 12",48322.5310710259,1067.78809567913,49390.319166705,TRUE
"13","Employee 13",49353.7002522498,7310.21887855604,56663.9191308059,TRUE
"14","Employee 14",49367.0229497366,-1832.93049572967,47534.0924540069,FALSE
"15","Employee 15",46971.4682898484,-743.717803852633,46227.7504859958,FALSE
"16","Employee 16",42502.5103799999,-287.140380823985,42215.3699991759,FALSE
"17","Employee 17",40941.0990937613,-2403.92353385687,38537.1755599044,FALSE
"18","Employee 18",43133.0054113641,-1542.30065993033,41590.7047514338,FALSE
"19","Employee 19",48185.0990606472,753.727540140972,48938.8266007882,TRUE
"20","Employee 20",44970.6005328335,6613.17450576462,51583.7750385981,TRUE
"21","Employee 21",44532.6917478815,-3818.14987515099,40714.5418727305,FALSE
"22","Employee 22",45673.6032478511,4867.67519963905,50541.2784474902,TRUE
"23","Employee 23",43465.9372153692,-2660.41100723669,40805.5262081325,FALSE
"24","Employee 24",43048.2190381736,3712.16183179058,46760.3808699641,TRUE
"25","Employee 25",43729.5853742398,9613.18665882573,53342.7720330656,TRUE
"26","Employee 26",47615.684911143,1119.62795606814,48735.3128672112,TRUE
"27","Employee 27",43466.7405020446,-2732.05623612739,40734.6842659172,FALSE
"28","Employee 28",48551.6967950389,1350.83865490742,49902.5354499463,TRUE
"29","Employee 29",40659.0740149841,697.153999935836,41356.2280149199,TRUE
"30","Employee 30",47010.7816788368,1746.07739085332,48756.8590696901,TRUE
"31","Employee 31",43572.1284709871,7644.8106195312,51216.9390905183,TRUE
"32","Employee 32",47255.9214523062,3897.56237040274,51153.4838227089,TRUE
"33","Employee 33",49271.005243063,7044.20801950619,56315.2132625692,TRUE
"34","Employee 34",48543.335008435,-1052.33020614833,47491.0048022866,FALSE
"35","Employee 35",46533.7109309621,9815.96732861362,56349.6782595757,TRUE
"36","Employee 36",43834.4984827563,-1672.13791166432,42162.360571092,FALSE
"37","Employee 37",40871.4028378017,4001.47193693556,44872.8747747373,TRUE
"38","Employee 38",41582.6178016141,-976.886452408507,40605.7313492056,FALSE
"39","Employee 39",45182.7537128702,8793.25006273575,53976.0037756059,TRUE
"40","Employee 40",46065.3906222433,-955.384213011712,45110.0064092316,FALSE
"41","Employee 41",48110.5543277226,4037.48373268172,52148.0380604044,TRUE
